Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,9780224039789,Roald Dahl,Quentin Blake ; Josie Fison ; Felicity Dahl ; Roald Dahl,Roald Dahl's revolting recipes,,England,Jonathan Cape,1994,,Literary cookbooks ; Cookery ; Cooking,,English
Volume,9780224046848,Roald Dahl,Roald Dahl ; Quentin Blake,The enormous crocodile,,England,Jonathan Cape,1999,,Crocodiles--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work,English
Volume,9780224046916,Roald Dahl,,The Roald Dahl treasury,,England,Jonathan Cape,1997,,Roald Dahl--Literary collections,,English
Volume,9780224047494,Roald Dahl,Quentin Blake ; Lori-Ann Newman ; Jan Baldwin ; Roald Dahl,Roald Dahl's even more revolting recipes,Even more revolting recipes,England,Jonathan Cape,2001,,Cooking--Juvenile literature,Children's literature,English
Volume,9780224060172,Roald Dahl,Ralph Steadman ; Roald Dahl,The Mildenhall treasure,,England,Jonathan Cape,1999,,"Butcher, Gordon ; Treasure-trove--England--Mildenhall (Suffolk) ; Mildenhall (Suffolk, England)--Antiquities, Roman",,English
Volume,9780224064521,Roald Dahl,Roald Dahl ; Quentin Blake,The BFG,,England,Jonathan Cape,2002,,Giants--Juvenile fiction,Children's fiction,English
Volume,9780224064538,Roald Dahl,Roald Dahl ; Quentin Blake,Matilda,,England,Jonathan Cape,2002,,,,English
Volume,9780224064699,Roald Dahl,Roald Dahl ; Quentin Blake,Danny the champion of the world,,England,Jonathan Cape,2002,,,Children's fiction,English
Volume,9780224064903,Roald Dahl,Roald Dahl ; Quentin Blake,George's marvellous medicine,,England,Jonathan Cape,2003,,,,English
Volume,9780435122652,Roald Dahl,Roald Dahl ; Quentin Blake,George's marvellous medicine,,England,Heinemann,1982,,Children's stories in English--1900-1945--Texts,,English
Volume,9780435122799,Roald Dahl,Roald Dahl ; Quentin Blake,The BFG,,England,Heinemann,1984,,Children's stories in English--1900-1945--Texts,,English
Volume,9780435122935,Roald Dahl,Roald Dahl ; Quentin Blake,The witches,,England,Heinemann,1985,,Children's stories in English--1900-1945--Texts,,English
Volume,9780435123239,Roald Dahl,,Going solo,,England,Heinemann,1988,,"Fiction in English--Roald Dahl--1916---Biographies ; Authors, English--20th century--Biography",,English
Volume,9780435123321,Roald Dahl,,Charlie and the chocolate factory,,England,Heinemann,1988,,Children's stories in English--1945---Texts,,English
Volume,9780435123987,Roald Dahl,Roald Dahl ; Quentin Blake,Matilda,,England,Heinemann New Windmills,1991,,English fiction--Children's stories,,English
Volume,9780435124625,Roald Dahl,Roald Dahl ; Quentin Blake,My year : Roald Dahl,,England,Heinemann,1997,,"Roald Dahl--Childhood and youth--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",,English
Volume,9780435164034,Linda Flynn,Linda Flynn ; Sally West ; Roald Dahl,"Going solo, Roald Dahl",Going solo,England,Heinemann,1989,,English literature--Study and teaching (Secondary)--Great Britain ; Fiction--Study and teaching (Secondary)--Great Britain ; Great Britain--Secondary schools--Curriculum subjects--Fiction in English--Teaching,,English
Volume,9780435164102,Dianne Jeremy,Dianne Jeremy ; Roald Dahl,"Boy, Roald Dahl",Boy,England,Heinemann,1989,,English language--Grammar--1950- ; English language--Comprehension ; Fiction--Study and teaching (Secondary)--Great Britain,,English
Volume,9780439999090,Andrew Donkin,Andrew Donkin ; Clive Goddard,Roald Dahl and his chocolate factory,,England,Hippo,2002,,"Roald Dahl--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Volume,9780712649919,Roald Dahl,Roald Dahl ; Quentin Blake,The vicar of Nibbleswicke,,England,Century,1991,,English fiction,,English
Volume,9780905712925,Roald Dahl,,"Kiss, kiss : Over to you ; Switch bitch ; Someone like you ; Four tales of the unexpected ; My Uncle Oswald",,England,Heinemann ; Octopus,1986,,Fiction in English--1945---Texts,,English
